id,en,fr,nl
nature_7,Mountain,La montagne,De berg
nature_8,Hill,La colline,De heuvel
nature_9,River,La rivière,De rivier
nature_10,Lake,Le lac,Het meer
nature_11,Sea,La mer,De zee
nature_12,Beach,La plage,Het strand
nature_13,Island,L'île,Het eiland
nature_14,Valley,La vallée,De vallei
nature_15,Desert,Le désert,De woestijn
nature_16,Rock,La roche,De rots
nature_17,Stone,La pierre,De steen
nature_18,Path,Le chemin,Het pad
nature_19,Field,Le champ,Het veld
nature_20,Garden,Le jardin,De tuin
weather_1,Weather,Le temps,Het weer
weather_2,It is hot,Il fait chaud,Het is warm
weather_3,It is cold,Il fait froid,Het is koud
weather_4,It is sunny,Il fait du soleil,Het is zonnig
weather_5,It is cloudy,Il y a des nuages,Het is bewolkt
weather_6,It is raining,Il pleut,Het regent
weather_7,It is snowing,Il neige,Het sneeuwt
weather_8,It is windy,Il y a du vent,Het waait
weather_9,It is stormy,Il y a une tempête,Het stormt
weather_10,The weather is good,Le temps est bon,Het weer is goed
season_1,Season,La saison,Het seizoen
season_2,Spring,Le printemps,De lente
season_3,Summer,L'été,De zomer
season_4,Autumn,L'automne,De herfst
season_5,Winter,L'hiver,De winter
outdoor_1,Walk,La promenade,De wandeling
outdoor_2,Hike,La randonnée,De hike / wandeltocht
outdoor_3,Trail,Le sentier,Het pad
outdoor_4,Picnic,Le pique-nique,De picknick
outdoor_5,Camping,Le camping,Het kamperen
outdoor_6,Tent,La tente,De tent
outdoor_7,Fire,Le feu,Het vuur
outdoor_8,Sunset,Le coucher de soleil,De zonsondergang
outdoor_9,Sunrise,Le lever du soleil,De zonsopgang
outdoor_10,View,La vue,Het uitzicht
animals_1,Animal,L'animal,Het dier
animals_2,Dog,Le chien,De hond
animals_3,Cat,Le chat,De kat
animals_4,Bird,L'oiseau,De vogel
animals_5,Fish,Le poisson,De vis
animals_6,Horse,Le cheval,Het paard
animals_7,Cow,La vache,De koe
animals_8,Sheep,Le mouton,Het schaap
animals_9,Pig,Le cochon,Het varken
animals_10,Goat,La chèvre,De geit
animals_11,Chicken,La poule,De kip
animals_12,Butterfly,Le papillon,De vlinder
animals_13,Bee,L'abeille,De bij
animals_14,Frog,La grenouille,De kikker
animals_15,Snake,Le serpent,De slang
animals_16,Bear,L'ours,De beer
animals_17,Lion,Le lion,De leeuw
animals_18,Monkey,Le singe,De aap
animals_19,Elephant,L'éléphant,De olifant
animals_20,Shark,Le requin,De haai
clothes_1,Clothes,Les vêtements,De kleding
clothes_2,Shirt,La chemise,Het hemd
clothes_3,T-shirt,Le t-shirt,Het t-shirt
clothes_4,Pants,Le pantalon,De broek
clothes_5,Shorts,Le short,De korte broek
clothes_6,Skirt,La jupe,De rok
clothes_7,Dress,La robe,De jurk
clothes_8,Sweater,Le pull,De trui
clothes_9,Coat,Le manteau,De jas
clothes_10,Jacket,La veste,De jas
clothes_11,Socks,Les chaussettes,De sokken
clothes_12,Shoes,Les chaussures,De schoenen
clothes_13,Hat,Le chapeau,De hoed
clothes_14,Cap,La casquette,De pet
clothes_15,Gloves,Les gants,De handschoenen
clothes_16,Scarf,L'écharpe,De sjaal
clothes_17,Belt,La ceinture,De riem
clothes_18,Boots,Les bottes,De laarzen
clothes_19,Underwear,Les sous-vêtements,Het ondergoed
clothes_20,Swimsuit,Le maillot de bain,Het badpak / de zwembroek
fashion_1,Fashion,La mode,De mode
fashion_2,Style,Le style,De stijl
fashion_3,Outfit,La tenue,De outfit
fashion_4,Size,La taille,De maat
fashion_5,Fitting room,La cabine d'essayage,De paskamer
fashion_6,Brand,La marque,Het merk
fashion_7,Pattern,Le motif,Het patroon
fashion_8,Price,Le prix,De prijs
fashion_9,Sale,La promotion,De aanbieding
fashion_10,Receipt,Le reçu,Het bonnetje
color_1,Red,Rouge,Rood
color_2,Blue,Bleu,Blauw
color_3,Green,Vert,Groen
color_4,Yellow,Jaune,Geel
color_5,Black,Noir,Zwart
color_6,White,Blanc,Wit
color_7,Grey,Gris,Grijs
color_8,Brown,Marron,Bruin
color_9,Pink,Rose,Roze
color_10,Orange,Orange,Oranje
color_11,Light blue,Bleu clair,Lichtblauw
color_12,Dark blue,Bleu foncé,Donkerblauw
color_13,Light green,Vert clair,Lichtgroen
color_14,Dark green,Vert foncé,Donkergroen
color_15,Purple,Violet,Paars
materials_1,Cotton,Le coton,Katoen
materials_2,Wool,La laine,Wol
materials_3,Leather,Le cuir,Leder
materials_4,Linen,Le lin,Linnen
materials_5,Polyester,Le polyester,Polyester
materials_6,Silk,La soie,Zijde
materials_7,Metal,Le métal,Metaal
materials_8,Plastic,Le plastique,Plastic
materials_9,Glass,Le verre,Glas
materials_10,Wood,Le bois,Hout
sizes_1,Small,Petit,Klein
sizes_2,Medium,Moyen,Middel
sizes_3,Large,Grand,Groot
sizes_4,Extra large,Très grand,Extra groot
sizes_5,Too small,Trop petit,Te klein
sizes_6,Too big,Trop grand,Te groot
sizes_7,Fits well,Ça va bien,Past goed
sizes_8,Does not fit,Ça ne va pas,Past niet
sizes_9,Tight,Serré,Strak
sizes_10,Loose,Large,Los
shopping_phrase_1,I am looking for…,Je cherche…,Ik zoek…
shopping_phrase_2,Do you have this in size M?,Vous l'avez en taille M ?,Heeft u dit in maat M?
shopping_phrase_3,Can I try it on?,Je peux l'essayer ?,Mag ik het passen?
shopping_phrase_4,It fits well,Ça me va bien,Het past goed
shopping_phrase_5,It’s too expensive,C'est trop cher,Het is te duur
shopping_phrase_6,Do you have another color?,Vous avez une autre couleur ?,Heeft u een andere kleur?
shopping_phrase_7,Where is the fitting room?,Où est la cabine d'essayage ?,Waar is de paskamer?
shopping_phrase_8,I’ll take it,Je le prends,Ik neem het
shopping_phrase_9,Do you accept card?,Vous acceptez la carte ?,Accepteert u pin?
shopping_phrase_10,I want a receipt,Je veux un reçu,Ik wil een bonnetje
body_1,Body,Le corps,Het lichaam
body_2,Head,La tête,Het hoofd
body_3,Face,Le visage,Het gezicht
body_4,Hair,Les cheveux,Het haar
body_5,Eye,L'œil,Het oog
body_6,Ear,L'oreille,Het oor
body_7,Nose,Le nez,De neus
body_8,Mouth,La bouche,De mond
body_9,Tooth,La dent,De tand
body_10,Tongue,La langue,De tong

body_11,Neck,Le cou,De nek
body_12,Shoulder,L'épaule,De schouder
body_13,Arm,Le bras,De arm
body_14,Hand,La main,De hand
body_15,Finger,Le doigt,De vinger
body_16,Chest,La poitrine,De borst
body_17,Back,Le dos,De rug
body_18,Stomach,Le ventre,De buik
body_19,Leg,La jambe,Het been
body_20,Foot,Le pied,De voet

health_1,Health,La santé,De gezondheid
health_2,Doctor,Le médecin,De dokter
health_3,Nurse,L'infirmier,De verpleegkundige
health_4,Hospital,L'hôpital,Het ziekenhuis
health_5,Clinic,La clinique,De kliniek
health_6,Pharmacy,La pharmacie,De apotheek
health_7,Appointment,Le rendez-vous,De afspraak
health_8,Medicine,Le médicament,Het medicijn
health_9,Prescription,L'ordonnance,Het recept
health_10,Insurance,L'assurance,De verzekering

symptom_1,Pain,La douleur,De pijn
symptom_2,Headache,Le mal de tête,De hoofdpijn
symptom_3,Stomach ache,Le mal de ventre,Buikpijn
symptom_4,Back pain,Le mal de dos,Rugpijn
symptom_5,Cough,La toux,De hoest
symptom_6,Cold (illness),Le rhume,De verkoudheid
symptom_7,Fever,La fièvre,Koorts
symptom_8,Tired,Fatigué,Moe
symptom_9,Dizzy,Avoir le vertige,Draaierig
symptom_10,Sick,Malade,Ziek

doctor_phrase_1,I am not feeling well,Je ne me sens pas bien,Ik voel me niet goed
doctor_phrase_2,I have pain here,J'ai mal ici,Ik heb hier pijn
doctor_phrase_3,I feel weak,Je me sens faible,Ik voel me zwak
doctor_phrase_4,I have a fever,J'ai de la fièvre,Ik heb koorts
doctor_phrase_5,How long have you been sick?,Depuis quand êtes-vous malade ?,Hoelang bent u ziek?
doctor_phrase_6,I need a doctor,Il me faut un médecin,Ik heb een dokter nodig
doctor_phrase_7,Do I need medicine?,J'ai besoin de médicaments ?,Heb ik medicijnen nodig?
doctor_phrase_8,Is it serious?,C'est grave ?,Is het ernstig?
doctor_phrase_9,I am allergic to…,Je suis allergique à…,Ik ben allergisch voor…
doctor_phrase_10,I need a prescription,Il me faut une ordonnance,Ik heb een recept nodig

pharmacy_1,Pharmacy,La pharmacie,De apotheek
pharmacy_2,Pill,La pilule,De pil
pharmacy_3,Tablet,Le comprimé,Het tablet
pharmacy_4,Syrup,Le sirop,De siroop
pharmacy_5,Cream,La crème,De crème
pharmacy_6,Antibiotic,L'antibiotique,Het antibioticum
pharmacy_7,Vitamins,Les vitamines,De vitaminen
pharmacy_8,Bandage,Le bandage,Het verband
pharmacy_9,Disinfectant,Le désinfectant,Het ontsmettingsmiddel
pharmacy_10,Pharmacist,Le pharmacien,De apotheker

emergency_1,Help!,À l'aide !,Help!
emergency_2,Call an ambulance!,Appelez une ambulance !,Bel een ambulance!
emergency_3,Call the police!,Appelez la police !,Bel de politie!
emergency_4,Fire!,Au feu !,Brand!
emergency_5,I lost my bag,J'ai perdu mon sac,Ik ben mijn tas kwijt
emergency_6,I lost my passport,J'ai perdu mon passeport,Ik ben mijn paspoort kwijt
emergency_7,I was robbed,On m'a volé,Ik ben beroofd
emergency_8,I need help,Il me faut de l'aide,Ik heb hulp nodig
emergency_9,Where is the hospital?,Où est l'hôpital ?,Waar is het ziekenhuis?
emergency_10,I can’t breathe,Je n'arrive pas à respirer,Ik kan niet ademen

school_1,School,L'école,De school
school_2,Classroom,La salle de classe,Het klaslokaal
school_3,Teacher,Le professeur,De leraar
school_4,Student,L'étudiant,De student
school_5,Lesson,La leçon,De les
school_6,Homework,Les devoirs,Het huiswerk
school_7,Exam,L'examen,Het examen
school_8,Subject,La matière,Het vak
school_9,Library,La bibliothèque,De bibliotheek
school_10,University,L'université,De universiteit

school_object_1,Notebook,Le cahier,Het schrift
school_object_2,Book,Le livre,Het boek
school_object_3,Pencil,Le crayon,Het potlood
school_object_4,Pen,Le stylo,De pen
school_object_5,Eraser,La gomme,De gum
school_object_6,Ruler,La règle,De liniaal
school_object_7,Backpack,Le sac à dos,De rugzak
school_object_8,Desk,Le pupitre,Het bureau
school_object_9,Chair,La chaise,De stoel
school_object_10,Marker,Le feutre,De markeerstift

work_1,Work,Le travail,Het werk
work_2,Job,Le métier,De baan
work_3,Office,Le bureau,Het kantoor
work_4,Colleague,Le collègue,De collega
work_5,Boss,Le patron,De baas
work_6,Meeting,La réunion,De vergadering
work_7,Email,Le mail,De e-mail
work_8,Project,Le projet,Het project
work_9,Schedule,L'emploi du temps,Het rooster
work_10,Salary,Le salaire,Het salaris

office_1,Computer,L'ordinateur,De computer
office_2,Laptop,L'ordinateur portable,De laptop
office_3,Keyboard,Le clavier,Het toetsenbord
office_4,Mouse,La souris,De muis
office_5,Screen,Écran,Het scherm
office_6,Printer,Imprimante,De printer
office_7,Document,Le document,Het document
office_8,Folder,Le dossier,De map
office_9,Paper,Le papier,Het papier
office_10,Pen,Le stylo,De pen

tech_1,Phone,Le téléphone,De telefoon
tech_2,Smartphone,Le smartphone,De smartphone
tech_3,Tablet,La tablette,De tablet
tech_4,Headphones,Les écouteurs,De koptelefoon
tech_5,Charger,Le chargeur,De oplader
tech_6,USB cable,Le câble USB,De USB-kabel
tech_7,Battery,La batterie,De batterij
tech_8,Internet,L'internet,Het internet
tech_9,WiFi,Le wifi,De wifi
tech_10,App,L'application,De app

internet_1,Website,Le site web,De website
internet_2,Account,Le compte,Het account
internet_3,Password,Le mot de passe,Het wachtwoord
internet_4,Login,Connexion,Inloggen
internet_5,Logout,Déconnexion,Uitloggen
internet_6,Download,Télécharger,Downloaden
internet_7,Upload,Téléverser,Uploaden
internet_8,Search,Rechercher,Zoeken
internet_9,Message,Le message,Het bericht
internet_10,Video call,L'appel vidéo,Het videogesprek

tools_1,Tool,L'outil,Het gereedschap
tools_2,Hammer,Le marteau,De hamer
tools_3,Screwdriver,Le tournevis,De schroevendraaier
tools_4,Wrench,La clé,De sleutel
tools_5,Saw,La scie,De zaag
tools_6,Drill,La perceuse,De boormachine
tools_7,Knife,Le couteau,Het mes
tools_8,Scissors,Les ciseaux,De schaar
tools_9,Tape measure,Le mètre,De rolmaat
tools_10,Flashlight,La lampe de poche,De zaklamp

activity_1,Activity,L'activité,De activiteit
activity_2,To play, Jouer,Spelen
activity_3,To watch,Regarder,Kijken
activity_4,To listen,Écouter,Luisteren
activity_5,To read,Lire,Lezen
activity_6,To write,Écrire,Schrijven
activity_7,To learn,Apprendre,Leren
activity_8,To travel,Voyager,Reizen
activity_9,To visit,Visiter,Bezoeken
activity_10,To relax,Se détendre,Ontspannen

hobby_1,Hobby,Le hobby,De hobby
hobby_2,Music,La musique,De muziek
hobby_3,Playing music,Jouer de la musique,Muziek spelen
hobby_4,Singing,Chanter,Zingen
hobby_5,Dancing,Danser,Dansen
hobby_6,Drawing,Dessiner,Tekenen
hobby_7,Painting,Peindre,Schilderen
hobby_8,Photography,La photographie,De fotografie
hobby_9,Gaming,Le jeu vidéo,Gamen
hobby_10,Cooking,Cuisiner,Koken

sports_1,Sport,Le sport,De sport
sports_2,Football,Le football,Voetbal
sports_3,Basketball,Le basket,Basketbal
sports_4,Tennis,Le tennis,Tennis
sports_5,Running,La course,Lopen
sports_6,Cycling,Le cyclisme,Fietsen
sports_7,Swimming,La natation,Zwemmen
sports_8,Gym,La salle de sport,De sportschool
sports_9,Yoga,Le yoga,De yoga
sports_10,Hiking,La randonnée,Hiken

free_time_1,Free time,Le temps libre,De vrije tijd
free_time_2,Going out,Sortir,Uitgaan
free_time_3,Going to the cinema,Aller au cinéma,Naar de bioscoop gaan
free_time_4,Going to a restaurant,Aller au restaurant,Naar een restaurant gaan
free_time_5,Going shopping,Faire du shopping,Winkelen
free_time_6,Staying home,Rester à la maison,Thuis blijven
free_time_7,Meeting friends,Rencontrer des amis,Vrienden ontmoeten
free_time_8,Playing games,Jouer à des jeux,Spellen spelen
free_time_9,Learning a language,Apprendre une langue,Een taal leren
free_time_10,Watching a show,Regarder un spectacle,Een show kijken

entertainment_1,Movie,Le film,De film
entertainment_2,Series,La série,De serie
entertainment_3,Music,La musique,De muziek
entertainment_4,Concert,Le concert,Het concert
entertainment_5,Theater,Le théâtre,Het theater
entertainment_6,Book,Le livre,Het boek
entertainment_7,Game,Le jeu,Het spel
entertainment_8,Party,La fête,Het feest
entertainment_9,Festival,Le festival,Het festival
entertainment_10,Story,L'histoire,Het verhaal

chore_1,To clean,Nettoyer,Schoonmaken
chore_2,To wash dishes,Faire la vaisselle,Afwassen
chore_3,To do laundry,Faire la lessive,De was doen
chore_4,To fold clothes,Plier les vêtements,Kleren vouwen
chore_5,To iron,Repasser,Strijken
chore_6,To sweep,Balayer,Vegen
chore_7,To mop,Passer la serpillière,Dweil
chore_8,To vacuum,Passer l'aspirateur,Stofzuigen
chore_9,To throw out garbage,Jeter les déchets,Afval weggooien
chore_10,To tidy up,Ranger,Opruimen

chore_11,To make the bed,Faire le lit,Het bed opmaken
chore_12,To cook,Cuisiner,Koken
chore_13,To bake,Cuire au four,Bakken
chore_14,To scrub,Frotter,Schrobben
chore_15,To polish,Lustrer,Poetsen
chore_16,To wash windows,Laver les vitres,Ramen wassen
chore_17,To dust,Épousseter,Stoffen
chore_18,To water plants,Arroser les plantes,Planten water geven
chore_19,To fix,Reparer,Repareren
chore_20,To check,Verifier,Controleren

repair_1,Repair,La réparation,De reparatie
repair_2,To hammer,Marteler,Hameren
repair_3,To screw,Visser,Vastschroeven
repair_4,To unscrew,Dévisser,Losschroeven
repair_5,To drill,Perceer,Boren
repair_6,To measure,Mesurer,Maten
repair_7,To cut,Scierr,Snijden/zaag
repair_8,To sand,Poncer,Schuren
repair_9,To paint,Peindre,Schilderen
repair_10,To assemble,Assembler,Monteren

maintenance_1,Maintenance,L'entretien,Het onderhoud
maintenance_2,To replace,Remplacer,Vervangen
maintenance_3,To install,Installer,Installeren
maintenance_4,To unplug,Débrancher,Uitpluggen
maintenance_5,To plug in,Brancher,Inpluggen
maintenance_6,To test,Tester,Testen
maintenance_7,To reset,Réinitialiser,Resetten
maintenance_8,To turn on,Allumer,Aanzetten
maintenance_9,To turn off,Éteindre,Uitzetten
maintenance_10,To adjust,Ajuster,Aanpassen

utilities_1,Electricity,L'électricité,De elektriciteit
utilities_2,Water,L'eau,Het water
utilities_3,Gas,Le gaz,Het gas
utilities_4,Heating,Le chauffage,De verwarming
utilities_5,Air conditioning,La climatisation,De airconditioning
utilities_6,Internet,L'internet,Het internet
utilities_7,Light bulb,L'ampoule,De gloeilamp
utilities_8,Switch,L'interrupteur,De schakelaar
utilities_9,Outlet,La prise,Het stopcontact
utilities_10,Circuit breaker,Le disjoncteur,De zekeringkast

home_phrase_1,The light is broken,La lumière est cassée,Het licht is kapot
home_phrase_2,The heater is not working,Le chauffage ne marche pas,De verwarming werkt niet
home_phrase_3,The water is cold,L'eau est froide,Het water is koud
home_phrase_4,The internet is down,Internet ne fonctionne pas,Internet ligt eruit
home_phrase_5,I cleaned the house,J'ai nettoyé la maison,Ik heb het huis schoongemaakt
home_phrase_6,I need to fix this,Je dois réparer ça,Ik moet dit repareren
home_phrase_7,The trash is full,La poubelle est pleine,De vuilnisbak zit vol
home_phrase_8,Can you help me clean?,Tu peux m'aider à nettoyer ?,Kun je me helpen schoonmaken?
home_phrase_9,I need tools,Il me faut des outils,Ik heb gereedschap nodig
home_phrase_10,Everything is done,Tout est fait,Alles is gedaan

chore_1,To clean,Nettoyer,Schoonmaken
chore_2,To wash dishes,Faire la vaisselle,Afwassen
chore_3,To do laundry,Faire la lessive,De was doen
chore_4,To fold clothes,Plier les vêtements,Kleren vouwen
chore_5,To iron,Repasser,Strijken
chore_6,To sweep,Balayer,Vegen
chore_7,To mop,Passer la serpillière,Dweil
chore_8,To vacuum,Passer l'aspirateur,Stofzuigen
chore_9,To throw out garbage,Jeter les déchets,Afval weggooien
chore_10,To tidy up,Ranger,Opruimen

chore_11,To make the bed,Faire le lit,Het bed opmaken
chore_12,To cook,Cuisiner,Koken
chore_13,To bake,Cuire au four,Bakken
chore_14,To scrub,Frotter,Schrobben
chore_15,To polish,Lustrer,Poetsen
chore_16,To wash windows,Laver les vitres,Ramen wassen
chore_17,To dust,Épousseter,Stoffen
chore_18,To water plants,Arroser les plantes,Planten water geven
chore_19,To fix,Reparer,Repareren
chore_20,To check,Verifier,Controleren

repair_1,Repair,La réparation,De reparatie
repair_2,To hammer,Marteler,Hameren
repair_3,To screw,Visser,Vastschroeven
repair_4,To unscrew,Dévisser,Losschroeven
repair_5,To drill,Perceer,Boren
repair_6,To measure,Mesurer,Maten
repair_7,To cut,Scierr,Snijden/zaag
repair_8,To sand,Poncer,Schuren
repair_9,To paint,Peindre,Schilderen
repair_10,To assemble,Assembler,Monteren

maintenance_1,Maintenance,L'entretien,Het onderhoud
maintenance_2,To replace,Remplacer,Vervangen
maintenance_3,To install,Installer,Installeren
maintenance_4,To unplug,Débrancher,Uitpluggen
maintenance_5,To plug in,Brancher,Inpluggen
maintenance_6,To test,Tester,Testen
maintenance_7,To reset,Réinitialiser,Resetten
maintenance_8,To turn on,Allumer,Aanzetten
maintenance_9,To turn off,Éteindre,Uitzetten
maintenance_10,To adjust,Ajuster,Aanpassen

utilities_1,Electricity,L'électricité,De elektriciteit
utilities_2,Water,L'eau,Het water
utilities_3,Gas,Le gaz,Het gas
utilities_4,Heating,Le chauffage,De verwarming
utilities_5,Air conditioning,La climatisation,De airconditioning
utilities_6,Internet,L'internet,Het internet
utilities_7,Light bulb,L'ampoule,De gloeilamp
utilities_8,Switch,L'interrupteur,De schakelaar
utilities_9,Outlet,La prise,Het stopcontact
utilities_10,Circuit breaker,Le disjoncteur,De zekeringkast

home_phrase_1,The light is broken,La lumière est cassée,Het licht is kapot
home_phrase_2,The heater is not working,Le chauffage ne marche pas,De verwarming werkt niet
home_phrase_3,The water is cold,L'eau est froide,Het water is koud
home_phrase_4,The internet is down,Internet ne fonctionne pas,Internet ligt eruit
home_phrase_5,I cleaned the house,J'ai nettoyé la maison,Ik heb het huis schoongemaakt
home_phrase_6,I need to fix this,Je dois réparer ça,Ik moet dit repareren
home_phrase_7,The trash is full,La poubelle est pleine,De vuilnisbak zit vol
home_phrase_8,Can you help me clean?,Tu peux m'aider à nettoyer ?,Kun je me helpen schoonmaken?
home_phrase_9,I need tools,Il me faut des outils,Ik heb gereedschap nodig
home_phrase_10,Everything is done,Tout est fait,Alles is gedaan

verb_1,To be,Être,Zijn
verb_2,To have,Avoir,Hebben
verb_3,To go,Aller,Gaan
verb_4,To do / make,Faire,Doen
verb_5,To say,Dire,Zeggen
verb_6,To speak,Parler,Spreken
verb_7,To call,Appeler,Bellen
verb_8,To listen,Écouter,Luisteren
verb_9,To hear,Entendre,Horen
verb_10,To ask,Demander,Vragen

verb_11,To answer,Répondre,Antwoorden
verb_12,To think,Penser,Denken
verb_13,To know (facts),Savoir,Weten
verb_14,To know (people),Connaître,Kennen
verb_15,To understand,Comprendre,Begrijpen
verb_16,To learn,Apprendre,Leren
verb_17,To study,Étudier,Studeren
verb_18,To read,Lire,Lezen
verb_19,To write,Écrire,Schrijven
verb_20,To believe,Croire,Geloven

verb_21,To see,Voir,Zien
verb_22,To watch,Regarder,Kijken
verb_23,To look for,Chercher,Zoeken
verb_24,To find,Trouver,Vinden
verb_25,To lose,Perdre,Verliezen
verb_26,To take,Prendre,Nemen
verb_27,To put,Mettre,Zetten
verb_28,To bring,Apporter,Brengen
verb_29,To carry,Porter,Dragen
verb_30,To hold,Tenir,Vasthouden

verb_31,To come,Venir,Komen
verb_32,To return,Rentrer,Terugkeren
verb_33,To enter,Entrer,Binnenkomen
verb_34,To leave,Partir,Vertrekken
verb_35,To arrive,Arriver,Aankomen
verb_36,To walk,Marcher,Lopen
verb_37,To run,Courir,Rennen
verb_38,To swim,Nager,Zwemmen
verb_39,To drive,Conduire,Rijden
verb_40,To ride (bike),Faire du vélo,Fietsen

verb_41,To stop,Arrêter,Stoppen
verb_42,To continue,Continuer,Doorgaan
verb_43,To start,Commencer,Beginnen
verb_44,To finish,Finir,Eindigen
verb_45,To try,Essayer,Proberen
verb_46,To need,Avoir besoin,Nodig hebben
verb_47,To want,Vouloir,Willen
verb_48,To can / be able to,Pouvoir,Kunnen
verb_49,To must / have to,Devoir,Moeten
verb_50,To allow,Permettre,Toestaan

verb_51,To prefer,Préférer,Voorkeur geven
verb_52,To choose,Choisir,Kiezen
verb_53,To decide,Décider,Beslissen
verb_54,To help,Aider,Helpen
verb_55,To use,Utiliser,Gebruiken
verb_56,To try on,Essayer (un vêtement),Passen
verb_57,To buy,Acheter,Kopen
verb_58,To pay,Payer,Betalen
verb_59,To sell,Vendre,Verkopen
verb_60,To cost,Coûter,Kosten

verb_61,To cook,Cuisiner,Koken
verb_62,To boil,Bouillir,Koken
verb_63,To fry,Frire,Bakken
verb_64,To bake,Cuire au four,Bakken
verb_65,To cut,Couper,Snijden
verb_66,To mix,Mélanger,Mengen
verb_67,To clean,Nettoyer,Schoonmaken
verb_68,To wash,Laver,Wassen
verb_69,To sweep,Balayer,Vegen
verb_70,To vacuum,Passer l'aspirateur,Stofzuigen

verb_71,To fix,Réparer,Repareren
verb_72,To break,Casser,Breken
verb_73,To open,Ouvrir,Openen
verb_74,To close,Fermer,Sluiten
verb_75,To turn on,Allumer,Aanzetten
verb_76,To turn off,Éteindre,Uitzetten
verb_77,To charge,Charger,Opladen
verb_78,To download,Télécharger,Downloaden
verb_79,To upload,Téléverser,Uploaden
verb_80,To send,Envoyer,Sturen

verb_81,To receive,Recevoir,Ontvangen
verb_82,To show,Montrer,Tonen
verb_83,To explain,Expliquer,Uitleggen
verb_84,To describe,Décrire,Beschrijven
verb_85,To repeat,Répéter,Herhalen
verb_86,To answer,Répondre,Antwoorden
verb_87,To correct,Corriger,Verbeteren
verb_88,To wait,Attendre,Wachten
verb_89,To hope,Espérer,Hopen
verb_90,To imagine,Imaginer,Voorstellen

verb_91,To sleep,Dormir,Slapen
verb_92,To wake up,Se réveiller,Opstaan
verb_93,To get up,Se lever,Opstaan
verb_94,To sit down,S'asseoir,Gaan zitten
verb_95,To lie down,S'allonger,Gaan liggen
verb_96,To relax,Se détendre,Ontspannen
verb_97,To rest,Se reposer,Rusten
verb_98,To shower,Se doucher,Douchen
verb_99,To dress,S'habiller,Aankleden
verb_100,To undress,Se déshabiller,Uitkleden

verb_101,To feel (emotion),Se sentir,Zich voelen
verb_102,To be happy,Être heureux,Blij zijn
verb_103,To be sad,Être triste,Verdrietig zijn
verb_104,To cry,Pleurer,Huilen
verb_105,To smile,Sourire,Glimlachen
verb_106,To laugh,Rire,Lachen
verb_107,To love,Aimer,Houden van
verb_108,To like,Aimer bien,Leuk vinden
verb_109,To hate,Détester,Haten
verb_110,To worry,S'inquiéter,Zich zorgen maken

verb_111,To wash hands,Se laver les mains,Handen wassen
verb_112,To brush teeth,Se brosser les dents,Tanden poetsen
verb_113,To comb hair,Se coiffer,Haren kammen
verb_114,To shave,Se raser,Scheren
verb_115,To put on makeup,Se maquiller,Zich opmaken
verb_116,To get ready,Se préparer,Zich klaarmaken
verb_117,To hurry,Se dépêcher,Haasten
verb_118,To wait for,Attendre,Op iemand wachten
verb_119,To join,Rejoindre,Aansluiten
verb_120,To meet,Rencontrer,Ontmoeten

verb_121,To stay,Rester,Blijven
verb_122,To visit,Visiter,Bezoeken
verb_123,To travel,Voyager,Reizen
verb_124,To book,Réserver,Boeken
verb_125,To check in,S'enregistrer,Inchecken
verb_126,To check out,Quitter la chambre,Uitchecken
verb_127,To pack,Faire sa valise,Inpakken
verb_128,To unpack,Défaire sa valise,Uitpakken
verb_129,To rent,Louer,Huren
verb_130,To park,Se garer,Parkeren

verb_131,To work,Travailler,Werken
verb_132,To earn,Gagner,Verdienen
verb_133,To spend (money),Dépenser,Uitgeven
verb_134,To organize,Organiser,Organiseren
verb_135,To plan,Planifier,Plannen
verb_136,To manage,Gérer,Beheren
verb_137,To prepare,Préparer,Voorbereiden
verb_138,To send an email,Envoyer un mail,Een e-mail sturen
verb_139,To open a file,Ouvrir un fichier,Een bestand openen
verb_140,To save,Sauvegarder,Opslaan

verb_141,To win,Gagner,Winnen
verb_142,To lose,Perdre,Verliezen
verb_143,To play,Jouer,Spelen
verb_144,To practice,S'entraîner,Trainen
verb_145,To try out,Essayer,Uitproberen
verb_146,To improve,Améliorer,Verbeteren
verb_147,To begin,Commencer,Beginnen
verb_148,To finish,Terminer,Beëindigen
verb_149,To join in,Participer,Deelnemen
verb_150,To celebrate,Célébrer,Vieren


sentence_1,I am at home,Je suis à la maison,Ik ben thuis
sentence_2,I am tired,Je suis fatigué,Ik ben moe
sentence_3,I am hungry,J'ai faim,Ik heb honger
sentence_4,I am thirsty,J'ai soif,Ik heb dorst
sentence_5,I am ready,Je suis prêt,Ik ben klaar
sentence_6,I am not ready,Je ne suis pas prêt,Ik ben niet klaar
sentence_7,I am busy,Je suis occupé,Ik ben bezig
sentence_8,I feel good,Je me sens bien,Ik voel me goed
sentence_9,I feel sick,Je me sens malade,Ik voel me ziek
sentence_10,I am cold,J'ai froid,Ik heb het koud

sentence_11,It is cold today,Il fait froid aujourd'hui,Het is koud vandaag
sentence_12,It is hot today,Il fait chaud aujourd'hui,Het is warm vandaag
sentence_13,It is sunny today,Il fait soleil aujourd'hui,Het is zonnig vandaag
sentence_14,It is raining,Il pleut,Het regent
sentence_15,It is snowing,Il neige,Het sneeuwt
sentence_16,The weather is nice,Il fait beau,Het is mooi weer
sentence_17,I love this weather,J'adore ce temps,Ik hou van dit weer
